HOMER2,GRM1
HOMER2,HOMER1
HOMER2,GRM5
GRM5,HOMER3
GRM5,HOMER1
GRM5,HOMER2
GRM5,HTR2A
GRM5,SHANK1
GRM5,DLGAP1
GRM5,DLG4
FOS,MAPK3
FOS,CREB1
FOS,MAPK1
FOS,MAPK8
FOS,TH
FOS,JAK2
FOS,MAPK10
FOS,ATF2
FOS,PTGS2
FOS,MAPK14
FOS,MAPK9
FOS,DUSP1
ITPR1,PLCB1
ITPR1,CALM2
ITPR1,PLCB2
ITPR1,TRPC1
ITPR1,PLCB3
ITPR1,PLCB4
ITPR1,PRKACA
GABARAP,NSF
GLUL,GAD1
GLUL,ABAT
GLUL,GAD2
GLUL,GLS
CLOCK,ARNTL
PRKACA,ADCY8
PRKACA,ADCY9
PRKACA,ITPR1
PRKACA,PRKACB
PRKACA,ADCY5
PRKACA,CREB1
PRKACA,ITPR2
HRAS,FYN
HRAS,GNAI1
HRAS,PIK3CB
HRAS,SRC
HRAS,ARAF
HRAS,PIK3CG
HRAS,PIK3CA
HRAS,RAF1
HRAS,PRKCA
HRAS,MAPK1
HRAS,GNAO1
HRAS,PIK3R1
HRAS,MAP2K1
HRAS,MAPK8
HRAS,PIK3CD
HRAS,JAK2
HRAS,MAPK3
HRAS,BRAF
HRAS,GNAI3
CASP3,BCL2
CASP3,AKT1
CASP3,MAPK14
PPP2R1B,PPP2R2A
PPP2R1B,PPP2R1A
PPP2R1B,PPP2R5B
PPP2R1B,PPP2R5E
PPP2R1B,PPP2R2D
PPP2R1B,PPP2CB
PPP2R1B,PPP2R5A
PPP2R1B,PPP2R2B
PPP2R1B,PPP2R2C
PPP2R1B,PPP2CA
PPP2R1B,PPP2R3B
PPP2R1B,PPP2R5D
PPP2R1B,PPP2R5C
ADCY6,PRKACB
ADCY4,PRKACB
GRK2,GRM1
GRK2,GRK3
GRK2,GNG4
GRK2,GNB3
GRK2,GNB2
GRK2,GNB1
GRK2,ARRB2
GRK2,GNG2
GRK2,GNAQ
GRK2,DRD2
GRK2,GNB4
GNAI2,GNG4
GNAI2,GNB2
GNAI2,GNB4
GNAI2,GNG2
GNAI2,GNAI3
GNAI2,GNG7
GNAI2,ADCY1
GNAI2,GNG10
GNAI2,GNB3
GNAI2,GNG5
GNAI2,GNB1
GNAI2,GNAI1
DLGAP1,GRM1
DLGAP1,SHANK2
DLGAP1,SHANK3
DLGAP1,DLG4
DLGAP1,SHANK1
DLGAP1,HOMER1
DLGAP1,GRM5
GLS,GLUL
GRK3,ARRB2
GRK3,GRK2
CAMK2G,GRIA2
CAMK2G,GRIN2B
CAMK2G,CAMK2A
CAMK2G,GRIN2D
CAMK2G,DLG4
CAMK2G,GRIN1
CAMK2G,CALM1
CAMK2G,GRIA3
CAMK2G,GRIN2A
CAMK2G,CAMK2D
CAMK2G,CALM2
CAMK2G,CALM3
CAMK2G,GRIN2C
CAMK2G,GRIA4
CAMK2G,CREB1
CAMK2G,ADCY8
CAMK2G,CAMK2B
CAMK2G,GRIA1
CHRM2,GNG2
PPP2R1A,PPP2R3B
PPP2R1A,PPP2CB
PPP2R1A,PPP2R5C
PPP2R1A,PPP2R3A
PPP2R1A,PPP2R5A
PPP2R1A,PPP2R2B
PPP2R1A,PPP2R2D
PPP2R1A,PPP2R5E
PPP2R1A,AKT1
PPP2R1A,PPP2CA
PPP2R1A,PPP2R2C
PPP2R1A,PPP2R1B
PPP2R1A,PPP2R2A
PPP2R1A,PPP2R5D
PPP2R1A,PPP2R5B
GSK3B,PIK3CB
GSK3B,PPP2CA
GSK3B,CREB1
GSK3B,AKT2
GSK3B,PIK3CD
GSK3B,PIK3CA
GSK3B,AKT1
GSK3B,AKT3
GSK3B,PIK3CG
PPP2R2A,PPP2CA
PPP2R2A,PPP3CA
PPP2R2A,PPP2R5A
PPP2R2A,PPP2R1B
PPP2R2A,PPP2CB
PPP2R2A,PPP2R5C
PPP2R2A,PPP2R5D
PPP2R2A,PPP2R3A
PPP2R2A,PPP2R1A
PPP1CA,PPP1CB
PPP1CA,PPP1CC
TPH2,DDC
BCL2,MAPK8
BCL2,MAPK1
BCL2,CREB1
BCL2,MAPK3
BCL2,AKT1
BCL2,CASP3
GRIN2A,CAMK2A
GRIN2A,CAMK2B
GRIN2A,CAMK2G
GRIN2A,PRKACG
GRIN2A,DLG4
GRIN2A,FYN
GRIN2A,GRIN1
